Frame,Plane1vsYOZ,Plane2vsPlane1,Plane3vsPlane2,Theta0_Plane1,Theta0_Plane2,Theta0_Plane3,PCC_Theta_Plane1,PCC_Theta_Plane2,PCC_Theta_Plane3
1,34.06,54.95,5.38,39.25,57.83,45.87,38.68,61.46,46.80
1,34.06,54.95,5.38,39.25,57.83,45.87,38.68,61.46,46.80
2,31.93,47.86,8.26,39.17,58.52,46.31,38.72,62.23,47.38
3,29.78,44.28,10.05,40.19,58.78,46.74,39.70,62.54,47.98
4,28.47,41.79,11.14,41.31,59.09,47.13,40.98,62.94,48.52
5,27.88,39.61,22.40,43.00,59.91,42.34,42.86,63.95,43.33
6,27.78,38.84,22.85,44.87,60.13,41.07,44.97,64.23,42.02
7,27.57,39.62,20.97,46.99,60.29,40.17,47.36,64.33,41.06
8,27.48,38.97,22.25,49.02,60.89,38.35,49.65,65.06,39.15
9,27.59,38.43,23.45,50.94,61.49,36.11,51.85,65.77,36.78
10,27.71,37.76,25.22,52.31,61.99,33.10,53.48,66.38,33.60
11,27.67,37.08,25.71,53.42,62.54,30.62,54.75,67.06,31.02
12,27.37,36.33,28.50,54.00,63.04,27.19,55.37,67.69,27.46
13,27.42,35.32,10.97,54.44,63.67,25.87,55.89,68.45,26.10
14,27.45,34.74,7.56,54.84,63.84,23.79,56.36,68.65,23.99
15,27.44,34.09,15.93,54.80,63.46,24.30,56.34,68.24,24.54
16,27.55,33.40,24.02,54.99,63.90,25.25,56.59,68.83,25.54
17,29.99,35.02,28.68,61.18,64.59,26.11,63.98,69.69,26.44
18,30.68,35.13,34.05,61.43,64.84,26.70,64.33,70.03,27.06
19,30.77,34.67,42.40,60.98,64.99,32.28,63.81,70.24,32.86
20,30.65,34.37,45.08,60.72,65.29,31.68,63.52,70.57,32.24
21,30.80,34.14,45.16,60.27,65.18,29.77,62.98,70.43,30.28
22,30.65,33.71,48.69,59.77,65.47,30.50,62.41,70.73,31.02
23,30.85,33.26,50.98,59.24,65.40,29.69,61.82,70.64,30.17
24,31.03,33.18,52.87,58.73,65.47,29.47,61.29,70.67,29.94
25,31.50,33.25,55.28,58.85,65.40,28.31,61.53,70.56,28.70
26,31.61,32.89,57.28,58.58,65.22,27.28,61.24,70.33,27.62
27,32.44,33.12,56.14,59.05,65.14,24.84,61.81,70.20,25.08
28,32.99,33.52,60.85,59.17,65.29,25.99,62.01,70.35,26.16
29,33.49,33.65,60.77,59.24,65.06,25.19,62.15,69.99,25.31
30,34.05,34.06,58.33,59.60,64.89,23.32,62.58,69.71,23.42
31,34.54,34.27,55.21,59.83,64.48,21.65,62.90,69.20,21.69
32,32.47,32.18,59.25,56.82,64.10,18.78,59.12,68.70,18.78
33,32.87,32.29,58.75,56.93,63.51,18.63,59.25,67.95,18.61
34,33.33,33.04,59.41,56.97,63.20,18.57,59.26,67.59,18.53
35,33.73,33.27,59.05,56.73,62.51,17.92,58.97,66.82,17.88
36,34.14,33.60,62.49,56.69,62.20,18.47,58.95,66.47,18.41
37,34.43,33.65,63.54,56.38,62.08,18.19,58.60,66.40,18.13
38,34.79,33.90,67.08,56.36,61.71,18.31,58.62,65.97,18.23
39,35.03,34.14,69.08,55.98,61.15,18.14,58.18,65.30,18.04
40,35.29,33.79,70.31,55.95,61.59,18.02,58.14,65.94,17.90
41,35.43,33.64,73.24,55.61,60.95,18.09,57.73,65.16,17.95
42,35.52,33.41,73.54,55.50,60.74,17.16,57.62,64.92,17.01
43,35.60,32.85,76.59,55.24,60.69,17.51,57.34,64.86,17.32
44,35.57,32.32,79.03,55.07,60.14,17.29,57.11,64.18,17.10
45,35.36,31.36,78.15,54.87,59.99,16.43,56.90,63.99,16.19
46,35.28,30.54,77.89,54.45,59.38,14.92,56.40,63.27,14.70
47,35.16,29.64,79.47,54.32,58.95,14.00,56.25,62.78,13.75
48,34.99,28.86,79.23,54.24,57.58,12.83,56.14,61.04,12.56
49,34.62,28.06,81.51,54.19,57.30,12.48,56.10,60.65,12.20
50,34.28,26.77,83.10,53.71,56.71,12.57,55.61,59.93,12.28
51,33.95,25.80,88.25,53.76,56.28,12.44,55.67,59.41,12.12
52,33.63,24.72,88.69,53.75,56.06,12.61,55.68,59.12,12.24
53,33.26,24.10,89.14,53.71,55.35,12.76,55.62,58.36,12.35
54,32.81,23.03,88.47,53.88,54.94,14.02,55.84,57.78,13.54
55,32.53,22.03,88.33,53.67,55.62,15.14,55.61,58.67,14.63
56,32.31,21.53,86.20,53.46,55.46,16.48,55.36,58.48,15.94
57,32.04,20.71,84.87,53.36,55.27,17.12,55.24,58.29,16.47
58,31.77,20.04,84.50,53.53,54.94,17.87,55.44,57.90,17.20
59,31.70,19.21,83.75,53.33,54.63,18.24,55.22,57.60,17.54
60,31.62,18.52,83.28,53.11,54.56,18.04,55.01,57.54,17.33
61,31.37,17.80,82.51,53.17,54.33,17.76,55.00,57.28,17.04
62,31.28,17.25,81.63,52.99,53.98,17.42,54.88,56.86,16.69
63,31.10,16.55,81.09,53.15,53.74,16.76,55.03,56.57,16.01
64,31.14,16.04,80.58,53.00,53.64,16.19,54.92,56.47,15.44
65,30.90,15.67,77.69,53.08,53.37,15.97,54.98,56.15,15.20
66,30.90,15.21,75.62,53.13,53.25,15.24,55.13,56.00,14.48
67,30.69,14.48,72.84,53.13,52.97,15.44,55.07,55.69,14.72
68,30.47,13.71,69.56,53.13,53.10,15.68,55.10,55.85,14.84
69,30.29,13.30,65.84,53.03,52.92,15.79,54.99,55.64,14.92
70,30.03,12.52,62.78,53.07,52.81,16.33,55.06,55.53,15.39
71,29.91,11.99,60.60,53.41,52.85,16.79,55.47,55.61,15.81
72,29.79,11.22,57.95,53.25,52.89,17.52,55.34,55.64,16.46
73,29.56,10.55,56.63,53.49,52.62,18.01,55.62,55.34,16.93
74,29.43,9.87,55.22,53.44,52.97,18.55,55.59,55.77,17.42
75,29.36,9.63,52.76,53.48,52.90,19.24,55.65,55.68,18.03
76,29.19,8.89,51.29,53.51,52.73,19.61,55.71,55.49,18.34
77,29.11,8.54,49.37,53.07,52.40,19.93,55.24,55.09,18.59
