Frame,Plane1vsYOZ,Plane2vsPlane1,Plane3vsPlane2,Theta0_Plane1,Theta0_Plane2,Theta0_Plane3,PCC_Theta_Plane1,PCC_Theta_Plane2,PCC_Theta_Plane3
78,29.05,7.80,47.64,53.09,52.28,20.15,55.29,54.95,18.75
79,28.90,7.35,45.37,53.01,52.09,20.40,55.20,54.73,18.92
80,28.88,6.70,43.35,53.02,52.12,20.81,55.21,54.76,19.24
81,28.84,5.99,41.66,52.68,52.07,21.60,54.84,54.72,19.94
82,28.75,5.44,39.55,52.67,52.06,22.39,54.83,54.72,20.68
83,28.81,5.19,37.29,52.49,51.61,23.65,54.65,54.18,21.81
84,28.75,4.68,35.38,52.96,51.82,25.25,55.14,54.46,23.23
85,28.86,4.44,33.26,52.87,51.93,27.21,55.02,54.59,25.03
86,28.90,4.04,31.52,52.74,51.78,29.43,54.89,54.42,27.09
87,29.02,3.92,29.49,52.70,51.14,31.92,54.84,53.64,29.43
88,29.06,3.66,27.75,52.68,50.92,34.55,54.83,53.37,31.89
89,29.18,3.45,26.34,52.61,50.87,37.23,54.74,53.31,34.47
90,29.19,3.13,25.02,52.46,50.96,40.00,54.58,53.41,37.12
91,29.35,2.92,23.88,52.47,51.08,42.78,54.59,53.57,39.78
92,29.51,2.76,22.91,52.43,50.99,45.54,54.54,53.47,42.49
93,29.64,2.57,22.12,52.57,51.49,47.95,54.71,54.06,44.98
94,29.81,2.46,21.28,52.52,51.65,50.60,54.63,54.24,47.66
95,30.00,2.51,20.69,52.53,51.50,53.09,54.66,54.06,50.37
96,30.16,2.46,20.13,52.55,51.50,55.66,54.69,54.06,53.14
97,30.36,2.67,19.74,52.64,51.50,58.28,54.79,54.05,56.04
98,30.60,2.98,19.46,52.54,51.41,60.72,54.70,53.96,58.78
99,30.81,3.15,19.39,52.33,51.70,62.90,54.45,54.29,61.31
100,31.08,3.56,19.41,52.25,51.84,65.23,54.38,54.46,63.96
101,31.28,3.97,19.48,52.17,51.69,67.58,54.30,54.27,66.58
102,31.51,4.40,19.63,51.83,51.75,69.33,53.94,54.34,68.67
103,31.71,4.55,19.92,51.55,51.82,70.83,53.60,54.43,70.45
104,31.92,5.05,20.14,51.39,52.09,71.79,53.42,54.75,71.69
105,32.21,5.48,20.26,51.24,51.96,72.82,53.23,54.59,73.06
106,32.40,6.10,20.34,51.12,51.69,73.92,53.09,54.27,74.47
107,32.66,6.78,20.32,51.00,51.58,74.88,52.96,54.16,75.84
108,32.81,7.60,20.22,50.83,51.31,75.81,52.77,53.85,77.13
109,33.00,8.43,20.07,50.66,50.88,76.56,52.57,53.36,78.16
110,33.23,9.09,19.94,50.49,50.56,77.20,52.36,53.00,79.03
111,33.33,10.06,19.74,50.48,50.25,77.70,52.36,52.65,79.67
112,33.56,10.82,19.45,50.29,50.03,77.96,52.16,52.41,80.09
113,33.78,11.60,19.14,50.10,49.71,78.23,51.93,52.04,80.45
114,33.87,12.61,18.79,49.84,49.50,78.25,51.64,51.81,80.55
115,34.12,13.34,18.45,49.69,49.39,78.29,51.49,51.68,80.58
116,34.49,13.99,18.08,50.05,49.16,78.48,51.84,51.43,80.87
117,34.65,14.83,17.70,49.40,49.29,78.56,51.14,51.56,80.86
118,34.95,15.34,17.41,49.19,49.09,78.00,50.88,51.33,80.06
119,34.97,15.89,17.28,48.91,49.08,77.41,50.58,51.32,79.28
120,35.79,15.67,17.15,46.80,49.07,76.94,48.28,51.31,78.64
121,36.18,16.37,16.97,46.39,48.76,76.35,47.83,50.95,77.84
122,36.40,16.84,17.03,46.07,48.62,75.74,47.47,50.79,77.01
123,36.73,16.99,17.10,46.88,48.73,75.23,48.35,50.92,76.28
124,37.12,17.35,17.18,46.80,48.54,74.64,48.27,50.71,75.46
125,37.35,18.38,16.95,46.87,48.02,74.09,48.32,50.11,74.63
126,37.71,18.99,16.93,46.94,47.93,73.52,48.40,50.00,73.82
127,38.04,19.42,17.11,46.87,47.61,72.99,48.34,49.64,73.03
128,38.43,19.87,17.11,47.15,47.34,72.34,48.66,49.33,72.03
129,38.68,20.57,17.02,46.78,47.12,71.71,48.25,49.08,71.11
130,38.93,21.51,16.71,46.74,47.11,70.82,48.22,49.07,69.91
131,39.35,21.58,16.78,46.92,46.80,70.09,48.42,48.72,68.88
132,39.62,22.06,16.60,46.81,46.27,69.21,48.30,48.09,67.67
133,39.98,22.35,16.38,46.97,46.08,68.27,48.48,47.88,66.42
134,40.35,22.54,16.11,47.06,46.00,67.25,48.58,47.79,65.04
135,40.70,22.76,15.70,47.23,45.84,65.94,48.77,47.61,63.38
136,41.03,23.11,15.26,47.10,45.85,64.59,48.63,47.63,61.68
137,41.53,23.15,14.87,47.17,45.78,62.98,48.72,47.55,59.70
138,41.89,23.12,14.57,47.24,45.52,61.40,48.80,47.25,57.74
139,42.45,23.15,14.16,48.01,45.75,59.70,49.65,47.53,55.69
140,42.89,23.13,13.86,47.35,45.53,57.96,48.93,47.28,53.59
141,43.33,23.08,13.55,47.36,45.40,56.02,48.94,47.15,51.36
142,43.81,22.63,13.42,47.54,45.08,54.12,49.15,46.78,49.19
143,44.35,22.56,13.11,47.51,45.00,52.30,49.12,46.69,47.12
144,44.91,22.44,12.84,47.69,44.67,50.84,49.32,46.30,45.28
145,45.44,22.54,12.48,47.70,44.91,48.60,49.32,46.62,43.15
146,45.97,22.32,12.21,47.71,44.53,46.84,49.34,46.19,41.28
147,46.47,21.91,12.02,47.67,44.28,45.14,49.29,45.91,39.52
148,47.00,21.87,11.67,47.64,44.15,43.36,49.25,45.77,37.76
149,47.48,21.86,11.37,47.56,43.78,41.60,49.16,45.34,35.99
150,47.96,21.86,11.07,47.63,43.64,39.58,49.23,45.19,34.03
151,48.41,22.57,10.74,47.73,43.71,37.47,49.35,45.28,31.97
152,48.94,22.54,11.04,47.60,43.52,35.08,49.21,45.07,29.71
153,49.36,22.68,12.30,47.55,43.38,32.40,49.15,44.92,27.21
154,49.82,22.74,14.59,47.47,43.11,29.83,49.06,44.62,24.88
155,50.33,22.65,15.76,47.53,42.93,27.87,49.12,44.43,23.23
156,50.71,22.78,14.09,47.50,42.67,28.31,49.08,44.15,23.77
157,51.05,22.98,9.98,47.25,42.44,30.35,48.82,43.89,25.71
158,51.48,23.03,5.94,47.56,42.33,32.68,49.15,43.78,27.87
159,51.89,22.58,4.89,47.53,41.96,34.68,49.10,43.38,29.74
160,52.38,21.77,5.22,47.52,41.90,36.22,49.10,43.31,31.27
161,52.80,20.80,5.37,47.51,42.24,37.38,49.08,43.69,32.46
162,53.36,19.31,4.94,47.50,42.59,38.40,49.07,44.08,33.54
163,53.59,18.39,4.40,48.49,43.11,39.17,50.17,44.67,34.37
164,54.03,17.46,3.96,48.40,43.38,40.07,50.07,44.97,35.27
165,54.42,16.65,3.34,48.32,43.54,41.10,49.99,45.15,36.25
166,54.92,15.79,2.67,48.44,43.71,42.01,50.11,45.35,37.07
167,55.40,14.89,2.17,48.42,43.77,42.83,50.10,45.42,37.79
168,55.85,13.99,1.52,48.65,43.90,43.75,50.36,45.56,38.60
169,56.22,13.16,0.48,48.67,44.09,44.85,50.40,45.77,39.59
170,56.43,12.64,0.66,48.99,44.27,46.18,50.75,45.98,40.80
171,56.75,12.08,1.51,48.87,44.45,47.62,50.63,46.19,42.16
172,56.90,11.52,2.65,48.96,44.65,49.04,50.73,46.41,43.49
173,57.07,11.05,3.60,48.97,44.81,50.52,50.74,46.59,44.87
174,57.40,10.43,4.42,48.90,44.91,52.09,50.66,46.71,46.37
175,57.61,9.84,5.35,48.80,45.00,53.44,50.55,46.80,47.67
176,57.81,9.31,6.04,48.82,44.99,54.64,50.58,46.79,48.86
177,58.08,8.65,6.81,48.88,44.84,55.86,50.64,46.62,50.10
178,58.09,8.34,7.71,48.57,44.50,57.08,50.30,46.24,51.40
179,58.43,7.80,8.24,48.51,44.21,58.28,50.24,45.91,52.62
180,58.67,7.50,8.83,48.83,43.86,59.51,50.59,45.52,53.93
181,58.97,7.27,9.11,48.84,43.43,60.66,50.61,45.04,55.17
182,59.26,7.21,9.64,48.80,43.15,61.96,50.56,44.73,56.55
183,59.46,7.36,10.19,48.83,42.80,63.23,50.60,44.32,57.88
184,59.62,7.55,10.54,49.01,42.37,64.60,50.80,43.84,59.37
185,59.73,7.96,11.12,49.09,41.85,66.10,50.89,43.26,61.03
186,59.88,8.37,11.57,49.07,41.30,67.63,50.88,42.64,62.74
187,60.02,8.80,11.99,49.07,40.80,69.15,50.88,42.08,64.44
188,60.16,9.20,12.47,49.26,40.18,70.75,51.09,41.39,66.28
189,60.27,9.71,13.26,49.35,39.53,72.23,51.20,40.66,68.03
190,60.30,10.30,14.10,49.52,38.82,73.57,51.39,39.87,69.62
191,60.25,10.59,14.73,49.73,38.03,74.93,51.63,39.00,71.28
192,60.30,10.87,15.31,49.92,37.23,76.26,51.85,38.11,72.90
193,60.28,11.12,15.98,50.05,36.46,77.29,52.00,37.28,74.19
194,60.23,11.18,16.40,50.28,35.80,78.21,52.26,36.55,75.34
195,60.10,11.20,16.74,50.53,35.14,79.08,52.55,35.85,76.38
196,59.87,10.96,16.79,50.80,34.66,79.69,52.87,35.31,77.13
197,59.72,10.73,16.69,50.92,34.29,80.15,53.01,34.91,77.68
198,59.49,10.70,16.78,51.10,34.00,80.55,53.21,34.58,78.11
199,59.29,10.43,16.56,51.16,33.73,80.76,53.28,34.28,78.27
200,58.99,10.45,16.65,51.35,33.25,81.07,53.50,33.75,78.55
201,58.76,10.35,16.53,51.59,32.82,81.26,53.78,33.28,78.69
202,58.48,10.31,16.59,51.77,32.18,81.39,53.99,32.59,78.76
203,58.28,10.37,16.74,52.12,31.51,81.50,54.39,31.87,78.82
204,58.03,10.37,16.85,52.30,30.77,81.63,54.61,31.09,78.91
205,57.84,10.26,16.84,52.53,29.86,81.75,54.87,30.13,79.01
206,57.72,10.11,16.81,52.75,28.80,81.89,55.13,29.02,79.17
207,57.62,10.19,16.92,52.94,27.69,81.94,55.35,27.86,79.22
208,57.51,10.21,17.09,53.05,26.54,81.92,55.48,26.67,79.20
209,57.39,9.99,16.94,53.28,25.45,81.89,55.75,25.52,79.16
210,57.34,9.76,16.69,53.44,24.06,81.83,55.93,24.10,79.07
211,57.14,9.53,16.54,53.76,22.44,81.78,56.30,22.45,78.99
212,57.09,9.50,16.39,53.78,21.25,81.69,56.32,21.23,78.83
213,56.95,9.56,16.35,53.79,19.72,81.51,56.35,19.68,78.59
214,56.84,9.68,16.45,53.90,18.38,81.42,56.48,18.31,78.46
215,56.75,10.42,17.10,53.99,17.00,81.34,56.58,16.93,78.32
216,56.74,10.83,17.31,54.02,15.76,81.27,56.61,15.67,78.17
217,56.64,11.54,18.02,54.08,14.63,81.23,56.69,14.54,78.05
218,56.63,12.56,18.83,54.06,13.51,81.19,56.66,13.42,77.93
219,56.59,13.93,20.00,54.08,12.45,81.13,56.68,12.35,77.81
220,56.61,14.51,20.45,54.00,11.58,80.97,56.58,11.48,77.56
221,56.62,15.61,21.20,53.93,10.72,80.89,56.50,10.62,77.43
222,56.65,16.70,22.23,53.80,9.93,80.85,56.34,9.84,77.34
223,56.67,17.46,22.75,53.66,9.22,80.86,56.18,9.13,77.30
224,56.63,18.22,23.29,53.50,8.53,80.82,55.99,8.44,77.22
225,56.69,18.59,23.65,53.42,7.93,80.80,55.90,7.85,77.15
226,56.71,19.04,24.05,53.24,7.44,80.83,55.68,7.36,77.14
227,56.77,18.66,23.66,53.06,7.01,80.81,55.47,6.94,77.09
228,56.87,17.33,22.50,52.90,6.65,80.88,55.29,6.59,77.10
229,56.96,16.60,21.82,52.83,6.33,80.87,55.19,6.27,77.06
230,57.17,14.48,20.03,52.61,6.06,80.94,54.94,6.00,77.12
231,57.25,12.44,18.46,52.50,5.75,81.02,54.82,5.70,77.18
232,57.37,10.32,16.82,52.40,5.23,81.11,54.71,5.18,77.24
233,57.54,8.59,15.52,52.42,4.93,81.23,54.72,4.89,77.34
234,57.64,7.51,14.74,52.31,4.70,81.30,54.59,4.66,77.37
235,57.82,6.85,13.91,52.27,4.37,81.43,54.54,4.33,77.47
236,57.95,8.36,14.05,52.26,4.17,81.57,54.52,4.15,77.60
237,58.13,11.48,15.51,52.35,3.90,81.72,54.61,3.87,77.72
238,58.26,16.33,18.68,52.38,3.69,81.91,54.66,3.67,77.91
239,58.27,19.96,21.40,52.49,3.72,82.08,54.77,3.69,78.07
240,58.35,28.45,28.58,52.40,3.45,82.29,54.66,3.43,78.31
241,58.42,34.73,34.23,52.68,3.50,82.61,54.97,3.48,78.80
242,58.54,42.55,41.60,52.61,3.38,82.97,54.88,3.37,79.47
243,58.67,53.56,52.17,52.73,3.39,83.35,55.01,3.38,80.21
244,58.77,64.95,63.23,52.72,3.41,83.84,54.99,3.41,81.14
245,58.90,76.78,74.91,52.69,3.53,84.33,54.95,3.52,82.07
246,59.04,86.64,84.72,52.73,3.70,84.78,54.97,3.69,82.87
247,59.20,81.40,83.29,52.53,3.97,85.37,54.74,3.96,83.75
248,59.40,73.45,75.09,52.50,4.31,85.85,54.69,4.30,84.36
249,59.55,66.17,67.43,52.22,4.64,86.27,54.37,4.63,84.77
250,59.74,57.45,58.36,52.13,4.90,86.74,54.26,4.90,85.09
251,60.65,54.75,53.94,50.51,5.17,86.80,52.50,5.17,84.69
252,60.50,45.55,44.16,50.19,4.89,86.86,52.16,4.89,84.24
253,60.80,46.73,43.49,50.19,4.50,86.58,52.14,4.49,83.40
254,61.02,41.85,36.61,50.12,3.61,86.28,52.05,3.61,82.66
255,61.33,33.19,25.80,49.89,2.54,85.95,51.79,2.54,82.08
256,61.63,10.00,8.76,49.51,1.91,85.68,51.35,1.91,81.64
257,62.00,18.48,30.16,49.39,2.19,85.44,51.19,2.18,81.34
258,62.42,26.83,40.84,49.25,2.70,85.16,51.03,2.70,81.04
259,62.90,26.12,41.99,49.37,3.16,85.00,51.16,3.15,81.00
260,63.39,23.09,40.57,49.23,3.76,84.80,51.01,3.76,80.95
261,63.84,20.67,39.48,49.45,4.16,84.62,51.25,4.16,80.99
262,63.98,22.13,41.81,49.46,5.26,84.44,51.24,5.26,81.01
263,64.13,20.88,41.12,49.81,5.77,84.40,51.62,5.77,81.21
264,64.13,19.10,39.53,49.93,6.37,84.52,51.74,6.37,81.58
265,64.20,16.40,36.90,49.95,7.03,84.66,51.75,7.04,81.92
266,64.23,13.86,34.18,49.93,7.56,84.80,51.71,7.57,82.25
267,64.20,10.84,30.85,49.95,8.17,84.70,51.70,8.18,82.15
268,64.20,7.55,27.02,49.91,8.73,84.35,51.63,8.74,81.64
269,64.15,5.69,24.33,49.85,9.57,83.99,51.53,9.59,81.02
270,64.21,3.72,20.73,49.69,10.18,83.70,51.33,10.20,80.44
271,64.13,3.54,17.69,49.66,10.94,83.30,51.26,10.96,79.65
272,64.08,4.51,14.91,49.50,11.53,82.81,51.04,11.56,78.59
273,64.06,6.15,12.06,49.32,12.13,82.49,50.81,12.17,77.80
274,64.08,7.59,9.78,49.12,12.73,82.12,50.55,12.77,76.87
275,64.10,8.19,8.52,48.97,13.07,81.78,50.36,13.11,76.05
276,64.22,8.97,7.27,48.77,13.67,81.66,50.12,13.71,75.61
277,64.33,9.24,6.74,48.63,14.30,81.74,49.94,14.35,75.58
278,64.37,9.48,6.41,48.63,14.86,81.85,49.92,14.91,75.71
279,64.62,10.65,5.84,48.53,15.31,81.92,49.81,15.37,75.89
280,64.55,11.15,5.88,48.47,15.83,82.15,49.73,15.90,76.37
281,64.55,11.96,6.16,48.31,16.39,82.14,49.55,16.46,76.58
282,64.43,12.61,6.87,48.16,16.93,82.22,49.38,17.01,76.94
283,64.41,13.91,8.07,47.86,17.48,82.24,49.06,17.57,77.29
284,64.19,14.91,9.55,47.86,17.96,82.32,49.06,18.06,77.69
285,64.04,16.17,11.38,47.69,18.44,82.39,48.87,18.54,78.11
286,63.74,17.48,13.37,47.78,18.86,82.53,48.97,18.96,78.62
287,63.61,18.86,15.25,47.68,19.31,82.76,48.85,19.42,79.24
288,63.37,20.23,17.18,47.64,19.77,83.02,48.82,19.89,79.83
289,63.06,21.28,18.79,47.65,20.25,83.25,48.82,20.38,80.29
290,62.90,22.12,20.06,47.69,20.73,83.52,48.87,20.87,80.85
291,62.87,23.07,21.12,47.52,21.12,83.98,48.70,21.26,81.70
292,61.93,22.13,21.48,48.82,21.46,84.36,50.02,21.62,82.34
293,62.80,23.64,21.76,47.45,21.72,84.96,48.61,21.88,83.27
294,61.97,22.45,21.64,48.69,21.72,85.53,49.89,21.88,84.12
295,63.00,23.64,21.34,47.20,21.65,86.21,48.34,21.81,85.15
296,63.25,23.54,20.82,47.07,21.38,86.92,48.20,21.54,86.19
297,63.51,23.57,20.31,47.01,20.96,87.53,48.12,21.11,87.27
298,63.83,23.65,19.78,46.70,20.35,88.08,47.78,20.48,88.34
299,64.25,23.94,19.21,46.49,19.84,88.37,47.55,19.96,88.95
300,64.55,23.39,18.08,46.33,19.52,88.45,47.35,19.64,89.23
301,64.88,22.40,16.64,46.25,19.76,88.41,47.29,19.89,89.30
302,65.14,21.12,15.17,46.36,20.29,88.22,47.43,20.43,89.05
303,65.35,19.78,13.82,46.65,21.06,88.06,47.75,21.21,88.80
304,65.46,18.77,13.03,46.93,22.00,87.88,48.07,22.18,88.40
305,65.57,18.42,12.83,47.24,23.10,87.72,48.43,23.30,88.08
306,65.62,18.30,12.95,47.41,24.29,87.42,48.62,24.53,87.49
307,65.73,18.45,13.27,47.42,25.56,87.22,48.65,25.84,87.09
308,65.69,18.61,13.67,47.49,26.71,86.93,48.72,27.03,86.46
309,65.66,18.74,13.96,47.58,27.77,86.68,48.82,28.14,85.89
310,65.67,18.77,14.23,47.59,28.90,86.31,48.83,29.32,85.13
311,65.73,18.83,14.43,47.68,30.05,85.99,48.91,30.52,84.44
312,65.88,18.95,14.58,47.80,31.27,85.61,49.04,31.80,83.61
313,66.07,19.34,14.78,47.78,32.44,85.20,49.02,33.03,82.80
314,66.26,19.44,14.82,47.88,33.64,84.85,49.12,34.31,82.07
315,66.49,19.67,15.02,48.09,34.73,84.49,49.36,35.46,81.33
316,66.72,19.74,15.22,48.36,35.86,84.11,49.65,36.66,80.67
317,66.99,19.88,15.43,48.51,37.05,83.70,49.80,37.94,80.03
318,67.17,19.97,15.68,48.75,38.10,83.31,50.08,39.06,79.32
319,67.33,19.91,15.84,48.81,39.17,82.92,50.12,40.22,78.71
320,67.53,20.10,16.06,48.91,40.21,82.50,50.23,41.34,78.03
321,67.75,20.17,16.20,49.02,41.40,82.06,50.33,42.63,77.36
322,67.97,20.24,16.35,49.07,42.36,81.71,50.39,43.67,76.82
323,68.15,20.20,16.48,49.07,43.27,81.26,50.38,44.67,76.17
324,68.47,20.30,16.54,49.03,44.12,80.88,50.32,45.59,75.62
325,68.75,20.33,16.68,49.02,44.90,80.40,50.30,46.46,74.93
326,69.09,20.46,16.79,48.96,45.74,80.04,50.22,47.37,74.43
327,69.43,20.64,16.92,48.89,46.49,79.57,50.13,48.21,73.81
328,69.80,20.83,17.03,48.77,47.26,79.21,49.98,49.06,73.28
329,70.12,20.83,16.92,48.60,48.01,78.71,49.80,49.91,72.64
330,70.39,20.66,16.67,48.56,48.64,78.42,49.71,50.60,72.24
331,70.74,20.73,16.72,48.48,49.36,78.01,49.61,51.42,71.73
332,71.13,20.81,16.72,48.32,50.01,77.61,49.43,52.15,71.20
333,71.54,21.03,16.99,48.22,50.70,77.36,49.31,52.94,70.89
334,71.96,21.24,17.23,48.11,51.38,76.99,49.18,53.71,70.44
335,72.31,21.36,17.45,48.00,52.02,76.66,49.05,54.44,70.02
336,72.74,21.59,17.57,47.91,52.64,76.47,48.94,55.14,69.86
337,73.11,21.70,17.95,47.89,53.26,76.19,48.91,55.86,69.47
338,73.47,21.76,17.99,47.71,53.83,75.85,48.72,56.51,69.04
339,73.79,21.88,18.19,47.61,54.31,75.46,48.62,57.08,68.60
340,74.12,21.83,18.21,47.51,54.87,75.39,48.50,57.73,68.54
341,74.47,21.85,18.48,47.48,55.37,75.44,48.46,58.33,68.58
342,74.84,21.93,18.57,47.48,55.88,75.15,48.46,58.92,68.23
343,75.20,21.92,18.72,47.32,56.43,75.07,48.28,59.58,68.13
344,75.63,22.04,18.97,47.14,56.90,74.93,48.10,60.14,67.97
345,76.10,22.22,18.85,46.95,57.40,74.63,47.89,60.74,67.62
346,76.55,22.42,19.06,46.82,57.89,74.52,47.74,61.32,67.50
347,76.96,22.54,19.04,46.68,58.51,74.20,47.60,62.07,67.19
348,77.44,22.82,19.10,46.49,59.13,74.23,47.40,62.83,67.15
349,77.85,23.12,19.19,46.41,59.84,73.99,47.33,63.69,67.02
350,78.27,23.39,19.40,46.37,60.62,73.45,47.30,64.64,66.44
351,78.71,23.91,19.78,46.42,61.10,72.91,47.35,65.25,65.85
352,79.16,24.29,19.95,46.56,61.82,72.42,47.50,66.15,65.38
353,79.60,24.66,20.04,46.61,62.83,72.17,47.56,67.39,65.06
354,80.10,25.01,19.90,46.66,63.74,72.06,47.63,68.53,64.97
355,80.62,25.42,19.72,46.71,64.72,72.24,47.68,69.77,65.47
356,81.14,25.86,19.63,46.79,65.56,72.00,47.79,70.83,65.18
357,81.63,26.29,19.77,46.76,66.41,72.22,47.74,71.91,65.57
358,82.20,26.87,19.96,46.82,67.24,72.23,47.82,72.99,65.74
359,82.74,27.59,20.07,46.76,68.10,72.64,47.75,74.10,66.34
360,83.24,28.16,19.94,46.72,68.93,72.40,47.72,75.18,66.26
361,83.73,28.78,19.61,46.65,69.76,72.08,47.64,76.26,65.78
